APILevel,Version,ReleaseDate
1,1.0,$2008-09-23$
2,1.1,$2009-02-09$
3,1.5,$2009-04-30$
4,1.6,$2009-09-15$
5,2.0,$2009-10-26$
6,2.0.1,$2009-12-03$
7,2.1,$2010-01-12$
8,2.2,$2010-05-20$
9,2.3-2.3.2,$2010-12-06$
10,2.3.3-2.3.7,$2011-02-09$
11,3.0,$2011-02-22$
12,3.1,$2011-05-10$
13,3.2,$2011-07-15$
14,4.0-4.0.2,$2011-10-19$
15,4.0.3-4.0.4,$2011-12-16$
16,4.1,$2012-07-09$
17,4.2,$2012-11-13$
